iter	RMSE
0	0.4267115599
1	0.4224570329
2	0.4183566384
3	0.4144741952
4	0.4108227186
5	0.4078242965
6	0.4051165247
7	0.4024195187
8	0.3998543158
9	0.3973650253
10	0.3951751084
11	0.3933021225
12	0.3915059944
13	0.3895871492
14	0.3879505282
15	0.3865426161
16	0.384983726
17	0.3834942128
18	0.3824235442
19	0.3813775923
20	0.3803980763
21	0.3795697552
22	0.3788528602
23	0.3782319611
24	0.3775578825
25	0.376810869
26	0.3758651849
27	0.3751573783
28	0.374476357
29	0.3737866405
30	0.3733995275
31	0.3728438403
32	0.3724989544
33	0.3719547417
34	0.3716682793
35	0.3714402161
36	0.3711622281
37	0.3707632959
38	0.3704237888
39	0.3701413555
40	0.3697712347
41	0.3693757872
42	0.3690835195
43	0.3687100835
44	0.3683553139
45	0.3681488736
46	0.3678630666
47	0.3676456809
48	0.3675658318
49	0.3673024027
50	0.3670045467
51	0.3668037185
52	0.3665780357
53	0.3664134983
54	0.366170287
55	0.3658901793
56	0.3656745346
57	0.3655011898
58	0.3652951721
59	0.3650563133
60	0.3647483726
61	0.3644760085
62	0.3642778156
63	0.3640919522
64	0.3638923493
65	0.3637031079
66	0.3635289841
67	0.3633636451
68	0.3632257649
69	0.3630520804
70	0.3629408714
71	0.3628366305
72	0.3626964331
73	0.3624583108
74	0.3622773093
75	0.3621856063
76	0.3620436391
77	0.3619001483
78	0.3616890917
79	0.3615825932
80	0.3613913862
81	0.3613076083
82	0.3611680363
83	0.3610065633
84	0.3609392533
85	0.3608496159
86	0.3606893927
87	0.3605069784
88	0.3603535272
89	0.3601703984
90	0.3601042277
91	0.3599506933
92	0.3598222876
93	0.35973828
94	0.3596644015
95	0.359481142
96	0.3593145292
97	0.3592173351
98	0.3590741796
99	0.3589457621
