iter	Passed	Remaining
0	17	1697
1	30	1517
2	46	1499
3	60	1443
4	75	1426
5	87	1363
6	99	1325
7	112	1297
8	126	1280
9	139	1257
10	151	1225
11	163	1202
12	175	1175
13	188	1155
14	203	1152
15	216	1139
16	235	1151
17	254	1158
18	269	1147
19	285	1142
20	301	1133
21	318	1129
22	334	1120
23	353	1118
24	371	1113
25	388	1105
26	403	1090
27	425	1094
28	454	1112
29	472	1103
30	488	1086
31	505	1074
32	519	1053
33	532	1033
34	544	1011
35	560	997
36	573	976
37	586	957
38	598	936
39	610	916
40	624	899
41	637	880
42	649	860
43	665	846
44	677	828
45	690	811
46	703	793
47	716	776
48	724	753
49	738	738
50	749	720
51	761	703
52	774	686
53	786	669
54	798	653
55	810	637
56	823	621
57	837	606
58	850	591
59	867	578
60	881	563
61	895	548
62	908	533
63	921	518
64	939	505
65	953	490
66	966	476
67	978	460
68	992	445
69	1005	430
70	1018	415
71	1038	403
72	1051	388
73	1064	374
74	1076	358
75	1087	343
76	1100	328
77	1113	314
78	1126	299
79	1138	284
80	1151	270
81	1164	255
82	1177	241
83	1189	226
84	1202	212
85	1213	197
86	1226	183
87	1240	169
88	1255	155
89	1272	141
90	1286	127
91	1299	113
92	1314	98
93	1326	84
94	1338	70
95	1352	56
96	1364	42
97	1376	28
98	1389	14
99	1401	0
